model,target,class_label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_total
CNN_LSTM,som_binary,0,0.875,0.1520690632574555,0.7103174603174601,0.23092146923079518,0.760077276524645,0.15064833835854538,50
CNN_LSTM,som_binary,1,0.28888888888888886,0.3392075004994166,0.47222222222222227,0.41294635409218067,0.2916666666666667,0.24414438654509646,10
