model,target,class_label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_total
XGBoost,binary,0,0.9088383838383839,0.07438358393780652,0.9227272727272727,0.13316966538823446,0.9057165861513689,0.06823599057182735,61
XGBoost,binary,1,0.6166666666666667,0.40994579587496144,0.5277777777777778,0.3653596232768307,0.47222222222222215,0.2952818281315181,11
