method,type,target,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,cohen_kappa_mean,cohen_kappa_std
GRU,model,som_binary,0.6435026574732458,0.21649977189684294,0.6547619047619048,0.251924231518399,,
majority_class,baseline,som_binary,0.5346362229102167,0.2114592245288203,0.5833333333333334,0.18633899812498245,,
stratified_random,baseline,som_binary,0.63276000458663,0.22370275635097042,0.6986111111111111,0.22930691555780375,0.2929331876700298,0.43698286476403886
persistence,baseline,som_binary,0.5861111111111111,0.19651673506471104,0.5853174603174603,0.19646865071309963,,
