method,type,target,f1_macro_mean,f1_macro_std,balanced_accuracy_mean,balanced_accuracy_std,cohen_kappa_mean,cohen_kappa_std
XGBoost,model,binary,0.6889694041867956,0.16294293235816845,0.7252525252525253,0.15403626422653746,0.4138248847926267,0.30299320144290803
majority_class,baseline,binary,0.4577451533973273,0.02226781811951005,0.5,0.0,0.0,0.0
stratified_random,baseline,binary,0.4638528138528139,0.10749297815876926,0.45639730639730636,0.09864299943830501,-0.045508658008658,0.21445785561340125
persistence,baseline,binary,0.526882863724969,0.07556025841733827,0.530050505050505,0.08032460058011238,0.056397306397306335,0.15441023844986657
