index,date,value,mean_before
319,2022-03-26,-0.2971315162026746,-0.09009913982758226
575,2022-12-07,-0.3583995900006037,-0.17842586158367998
863,2023-09-21,-0.348809678273225,-0.05331217051078772
959,2023-12-26,0.4830828924874288,0.42181312451349584
1311,2024-12-12,0.5555525522909474,0.5030375391898122
1471,2025-05-21,0.5675653951320784,0.3645177625516261
